species,hab_guild,food_item,nest_guild,forage_behavior,cons_status
ABDU,1,1,3,4,3
AMBI,5,3,3,11,3
AMCR,2,2,4,7,3
AMGO,2,4,6,6,3
AMKE,3,5,2,1,3
AMRE,6,1,4,6,3
AMRO,2,1,4,7,3
AMWO,6,1,3,9,2
BAEA,6,3,4,10,3
BANS,1,1,1,2,1
BAOR,6,1,4,6,3
BBCU,6,1,4,6,2
BCCH,6,1,2,6,3
BEKI,1,3,1,1,3
BGGN,6,1,4,6,3
BHCO,3,4,4,7,3
BLBW,6,1,4,6,3
BLJA,6,2,4,7,3
BOBO,3,4,3,7,2
BRCR,6,1,4,3,3
BRTH,4,2,6,7,3
BTNW,6,1,4,6,3
CAGO,5,4,3,7,3
CARW,2,1,2,7,3
CAWA,6,1,3,6,2
CEDW,2,6,4,6,3
CHSP,2,4,6,7,3
CHSW,7,1,5,2,2
COGR,2,2,4,7,1
COHA,6,7,4,2,3
CONI,3,1,3,2,1
COYE,4,1,6,6,3
CSWA,2,1,6,6,3
CWWI,2,1,3,2,1
DOWO,6,1,2,3,3
EABL,3,1,2,7,3
EAKI,3,1,4,5,3
EAME,3,1,3,7,1
EAPH,2,1,5,5,3
EASO,6,5,2,1,3
EATO,4,2,3,7,3
EAWP,6,1,4,5,3
EUST,7,1,2,7,3
EWPW,2,1,3,2,2
FISP,4,1,3,7,1
GCFL,2,1,2,5,3
GHOW,6,8,4,1,3
GRCA,2,1,6,7,3
GRHE,5,3,4,11,1
HAWO,6,1,2,3,3
HOFI,7,4,4,7,3
HOME,1,3,2,12,3
HOWR,4,1,2,6,3
INBU,2,1,6,6,3
KILL,3,1,3,7,3
LEBI,5,3,3,11,3
LEFL,6,1,4,5,1
MALL,1,2,3,4,3
MAWA,6,1,4,6,3
MAWR,5,1,6,7,3
MODO,2,4,4,7,3
NOCA,2,4,6,7,3
NOFL,2,1,2,7,3
NOGO,6,7,4,1,3
NOMO,7,2,6,7,3
NRWS,8,1,1,2,3
NSWO,6,8,2,1,3
OROR,2,1,4,6,3
PBGR,1,9,7,12,3
PIWA,6,1,4,3,3
PROW,6,1,2,6,2
RBGR,6,1,4,6,3
RBNU,6,1,2,3,3
RBWO,6,1,2,3,3
REVI,6,1,4,6,3
RHWO,2,2,2,5,2
RTHA,6,5,4,10,3
RTHU,2,10,4,8,3
RWBL,5,1,6,7,3
SCTA,6,1,4,6,3
SORA,5,4,7,7,3
SOSP,2,1,6,7,3
SPSA,9,5,3,9,3
SSHA,6,7,4,1,3
SWSP,5,1,6,7,3
TRES,1,1,2,2,3
VEER,6,1,3,7,3
VIRA,5,9,3,9,3
WAVI,2,1,4,6,3
WBNU,6,1,2,3,3
WEVI,4,1,6,6,3
WIFL,5,1,6,5,3
WISN,5,9,3,9,3
WITU,2,2,3,7,3
WIWR,6,1,2,7,3
WODU,1,11,2,4,3
WTSP,6,4,3,7,3
YBCU,2,1,4,6,1
YTVI,2,1,4,6,3
YWAR,2,1,6,6,3
