,treedensity,sitesize
1991DCJS,1.93,11.3
1991DCSD,26.43,10.2
1991IDSS,2.77,10.9
1991RARO,13.78,13.1
1991ROIS,4.8,9.2
1991ROMS,7.34,7.9
1991ROSF,16.57,12.5
1991ROWB,11.56,8.9
1991ROWP,6.54,11.4
1991STDP,3.43,15
1991TMSL,32.21,11
1991WPWC,46.34,12.8
2021BGGR,2.61,13.7
2021DCJS,17.56,11.3
2021DCSD,33.05,10.2
2021IDSS,33.34,10.9
2021RARO,41.82,13.1
2021ROIS,10.61,9.2
2021ROMS,22.54,7.9
2021ROSF,30.5,12.5
2021ROWB,13.96,8.9
2021ROWP,27.55,11.4
2021SRS1,2.77,13.6
2021SRS2,4.52,14.6
2021STDP,8.6,15
2021TMSL,110.29,11
2021WPWC,65.65,12.8
